"","logFC","AveExpr","t","P.Value","adj.P.Val","B","threshold"
"ANGPTL2",1.36411690095205,7.8362175410544,6.36532074729267,1.36699180693249e-09,4.24639103447426e-08,11.503826948732,"Upregulated"
"COL1A1",1.34993616440209,9.8792518423711,6.3449714957475,1.52535945732588e-09,4.6515312672713e-08,11.3981668447412,"Upregulated"
"COL1A2",1.35520211539886,9.55496067597541,6.34442663716643,1.52983851477722e-09,4.65807842898783e-08,11.3953407824727,"Upregulated"
"SERPINA3",1.95932020687301,8.08273871150461,6.3370438771386,1.59181743353256e-09,4.81013032032971e-08,11.3570636031721,"Upregulated"
"RGS5",1.53442032585257,8.82816238387443,6.32678241499549,1.68207628453591e-09,5.03822541360044e-08,11.3039095613415,"Upregulated"
"GNA15",1.21722701499124,7.95907189845548,6.32298494301808,1.71673691321339e-09,5.11029852526443e-08,11.2842530297887,"Upregulated"
"NID1",1.13648954739168,8.54429045821609,6.31613114984131,1.78107725338055e-09,5.2782250829411e-08,11.2487958345128,"Upregulated"
"CCL20",1.70290941135736,9.13660452823449,6.30694884328909,1.87099991821811e-09,5.47164749143317e-08,11.2013317899029,"Upregulated"
"CHI3L1",2.78532879577551,8.89336263645315,6.29862189936592,1.95639053043511e-09,5.70466342407458e-08,11.1583282613569,"Upregulated"
"STRIP2",1.17652304714484,6.79376372559346,6.29691693328094,1.97434062124948e-09,5.74024447872446e-08,11.1495277537506,"Upregulated"
"CD93",1.20205061430606,8.44136770262265,6.28984021233972,2.05058925960766e-09,5.89330501746811e-08,11.1130166062787,"Upregulated"
"C4BPB",1.34624744333952,6.12988250384337,6.27353558121422,2.23743713292073e-09,6.36083030908958e-08,11.0289982070669,"Upregulated"
"TNFSF13B",1.00182547935884,7.32535523611978,6.18301551589989,3.62157751059203e-09,9.65786237604341e-08,10.5651662242731,"Upregulated"
"KYNU",2.20079112418573,7.24146881159794,6.1747562529145,3.78343591805506e-09,1.00359029252632e-07,10.5230679122361,"Upregulated"
"ARHGAP29",1.08905174506631,5.8768953956106,6.16531494480181,3.97716038794833e-09,1.04663770209328e-07,10.4749905487619,"Upregulated"
"ADGRG6",1.24609710501686,9.15554605818214,6.16031166489667,4.08373192574492e-09,1.07045225045707e-07,10.4495325712788,"Upregulated"
"MYOF",1.13652138550766,9.90087497157632,6.15760598797841,4.14252538606978e-09,1.08160525570402e-07,10.4357711399138,"Upregulated"
"ADGRE2",1.32037131547501,8.00088208193686,6.15608872600067,4.17585742668749e-09,1.08888480731927e-07,10.4280559117967,"Upregulated"
"ADAMTS1",1.10211925243707,7.40924728023282,6.15435857976419,4.2141872590536e-09,1.09744688803568e-07,10.4192597244742,"Upregulated"
"CD34",1.03793252710509,8.45707389770422,6.15263987172627,4.25260523752007e-09,1.10259173473529e-07,10.4105233259429,"Upregulated"
"TGFBI",1.2312073608803,9.25179642692661,6.14911560760781,4.33245980741891e-09,1.11372654045541e-07,10.3926141724598,"Upregulated"
"ZG16B",1.11057036714353,9.82415002260732,6.14723830225416,4.37559512370977e-09,1.12192730424877e-07,10.383077124353,"Upregulated"
"TGM2",1.29132068332443,10.9371070265331,6.13790317117084,4.5964232081916e-09,1.16628975713861e-07,10.3356819273384,"Upregulated"
"IGFBP7",1.04813640292103,10.3886524370932,6.12403988058166,4.94466950321806e-09,1.24232488877079e-07,10.2653859814615,"Upregulated"
"EGR1",1.34982063095766,9.66673673031109,6.1066718358385,5.41762712679389e-09,1.34424452460349e-07,10.1774692586387,"Upregulated"
"LAMA4",1.05344744504166,7.88638140557379,6.08184297284381,6.17162031411595e-09,1.50883652575462e-07,10.0520779542045,"Upregulated"
"VCAN",1.42981487982022,8.40000601923678,6.06651142522091,6.68759611979854e-09,1.61131537873168e-07,9.9748224030951,"Upregulated"
"ADGRF5",1.11755779853379,6.75544394221877,6.06570683704176,6.7158114013215e-09,1.61616405939754e-07,9.97077172943543,"Upregulated"
"PLAU",1.54938175963232,8.36414049948106,6.02559668326401,8.28046516113262e-09,1.92542504224055e-07,9.76930015637237,"Upregulated"
"SLFN11",1.20787403279347,7.61807441066016,6.01275677085448,8.85299205459452e-09,2.03341714891048e-07,9.70499775085469,"Upregulated"
"TFF1",1.34850728006742,10.7389569014625,6.01267242015522,8.85687853986241e-09,2.03341714891048e-07,9.70457563048945,"Upregulated"
"VSIG1",2.50618923654156,7.35949249187935,6.00331381563604,9.29862052302492e-09,2.11624790977935e-07,9.65776696712907,"Upregulated"
"GBP5",1.76481700164011,7.27348185355638,5.9636899786006,1.14204025963236e-08,2.52056487799965e-07,9.46013366171503,"Upregulated"
"SPARC",1.19321352929917,10.9329014873453,5.94496183985473,1.2581699940293e-08,2.74652321975314e-07,9.36703477621611,"Upregulated"
"CALCRL",1.43968283462929,7.26424998761828,5.93417402983988,1.33023066592947e-08,2.87865951476438e-07,9.31349915636623,"Upregulated"
"NNMT",1.10148254093252,8.16019264906565,5.91816220752991,1.44469207309899e-08,3.09284881758621e-07,9.23416226915196,"Upregulated"
"PXDN",1.21702362454771,8.49564544027175,5.91392126723102,1.47658932377697e-08,3.14093665102462e-07,9.21317361101335,"Upregulated"
"CTSK",1.44608489229059,9.12735922758429,5.90446796112878,1.55019126911438e-08,3.27656300627414e-07,9.16642602891744,"Upregulated"
"RAB31",1.34104465743366,9.77935434668372,5.89629473736058,1.61671179991447e-08,3.38847864548704e-07,9.12605023516022,"Upregulated"
"SOD2",1.09383616351773,10.0524728732833,5.89392652439724,1.63650283858454e-08,3.42277567517149e-07,9.11435846901248,"Upregulated"
"PIM2",1.53379018645308,8.86468250043828,5.86969820070006,1.85309647241789e-08,3.79239230943391e-07,8.99493117472417,"Upregulated"
"RHOJ",1.02564021898531,8.10534613090224,5.86136120960463,1.93392527567545e-08,3.92164705140522e-07,8.9539150328696,"Upregulated"
"ACP3",1.21562475031589,7.65973481375466,5.85572535504233,1.99050955084891e-08,4.02413337739434e-07,8.9262108236206,"Upregulated"
"MCAM",1.00029273102105,7.77920194144326,5.81973742984296,2.3919682796924e-08,4.74922210920238e-07,8.74974243296223,"Upregulated"
"MCTP1",1.09596862676459,7.17010564844614,5.80107598552201,2.63029573265185e-08,5.18633040118342e-07,8.65853428253207,"Upregulated"
"ALPL",1.28198887293521,7.77026369636209,5.7780902552066,2.95592238621766e-08,5.73219356721471e-07,8.54647313419347,"Upregulated"
"SERPING1",1.22027201153657,9.18862315077105,5.76518308536159,3.15571867931242e-08,6.0433676798261e-07,8.4836844015113,"Upregulated"
"PI3",2.17971143737295,10.2005977251205,5.75394851786889,3.3403243954068e-08,6.33013657247205e-07,8.42911266425541,"Upregulated"
"IL7R",1.4179925269883,8.46043399507615,5.75318141107306,3.35330744428818e-08,6.34871686182106e-07,8.42538918763938,"Upregulated"
"CXCL10",2.16918237949598,8.52557031469067,5.73369422533611,3.70017094053177e-08,6.92663677283802e-07,8.33091728043834,"Upregulated"
"FADS1",1.09937380103073,7.58195519245815,5.69602875778235,4.47276685505555e-08,8.14394212970642e-07,8.14896123539958,"Upregulated"
"DYSF",1.07732880754117,6.64818676489543,5.67489877230767,4.97300923741609e-08,8.90859968682951e-07,8.04725794793238,"Upregulated"
"CD274",1.41681901841066,6.94666911335477,5.59894903012654,7.26402291414948e-08,1.23587388149252e-06,7.68392259370607,"Upregulated"
"EDNRA",1.39684227105642,7.15161158712894,5.59651955246406,7.35218944698621e-08,1.24711333143794e-06,7.6723580949016,"Upregulated"
"LILRB2",1.03989122766937,7.79104545196728,5.5793758851419,8.0047178811408e-08,1.34132747447908e-06,7.59085545128003,"Upregulated"
