"","logFC","AveExpr","t","P.Value","adj.P.Val","B","threshold"
"CUBN",-1.94176464488615,6.75683376133227,-4.29187751592511,2.79049337145623e-05,0.000180379658904423,2.02119764607844,"Downregulated"
"MIR192",-1.00385284573352,8.63068675501424,-4.27681936854316,2.96857459086545e-05,0.000190289823099957,1.9629359338827,"Downregulated"
"PLA2G12B",-1.21659873678614,7.49914972754577,-4.23123726744666,3.57642326101162e-05,0.00022226346675621,1.78760535688042,"Downregulated"
"SLC23A1",-1.60092086768444,8.25159658738197,-4.18134371022747,4.37786618560183e-05,0.000264179755864686,1.59747768219432,"Downregulated"
"MEP1B",-2.84576622255556,8.13520915715982,-4.15837388436623,4.80207367182465e-05,0.00028597680238827,1.51057835424883,"Downregulated"
"FMO1",-1.47033931456283,5.22990431734588,-4.14556646836764,5.05536960783208e-05,0.000298833834113163,1.46229879399808,"Downregulated"
"SLC10A2",-2.10145977396844,7.56921352101356,-4.12073281964702,5.58332496727275e-05,0.000323907443788283,1.36903909949314,"Downregulated"
"ASPA",-1.28125747304976,5.40439569202335,-4.09355571969163,6.22130827954193e-05,0.000356160537619864,1.2675165947327,"Downregulated"
"BRINP3",-1.41564435334948,6.41538595069262,-4.0260149952975,8.12173917460577e-05,0.000448379265543327,1.01765808436657,"Downregulated"
"PLAAT2",-1.07308819427239,7.99145385138505,-4.01053504126785,8.62936098763769e-05,0.000471710061212576,0.960885546818917,"Downregulated"
"PRODH",-1.01050644861665,6.91217284914369,-3.99585726867342,9.13846904811039e-05,0.000495875525039274,0.907225708087891,"Downregulated"
"SLC9A2",-1.09573702621009,8.38163506019683,-3.94417926457776,0.000111680466711591,0.00058888744511545,0.719625208244589,"Downregulated"
"LEAP2",-1.35371330116534,7.39690519943334,-3.9291153982138,0.000118360494780744,0.000619044913000936,0.665330975272113,"Downregulated"
"MOGAT2",-1.14601532956498,8.97057243020592,-3.90673415540156,0.000128990390316652,0.000665750402114936,0.58498948688071,"Downregulated"
"G6PC1",-1.96803894153201,6.87066440684926,-3.89389161122975,0.000135492972312233,0.000693399085053688,0.53906548264961,"Downregulated"
"HSD3B2",-1.18823305042772,5.71650180158044,-3.83180804843865,0.00017156276456699,0.000846958640499518,0.318882373290607,"Downregulated"
"PDZK1",-1.64643003864489,6.47514898083996,-3.82975528435003,0.000172898444890584,0.000851868164342508,0.311653881193037,"Downregulated"
"MS4A8",-1.53416940798948,8.43237861329509,-3.7874181122838,0.000202745245488691,0.000978172351060657,0.163312013608997,"Downregulated"
"MYO1A",-1.04600076756739,10.408083647827,-3.73637154555172,0.000245223599480291,0.0011478466936941,-0.0136570466367747,"Downregulated"
"ENPP3",-1.082098540885,8.57561988733179,-3.70729056692247,0.000273051952716806,0.00125637864629474,-0.113547697141077,"Downregulated"
"ANPEP",-1.49533712804195,11.6603811405966,-3.69512259804865,0.000285559147203023,0.00130610451253336,-0.155143075887897,"Downregulated"
"ADH1C",-1.19299926574159,9.85234330896315,-3.69458062551319,0.00028612862194202,0.00130781077681234,-0.156993015647361,"Downregulated"
"SLC26A3",-1.28689268431174,11.7035131120765,-3.68266807368969,0.000298919773538438,0.00135541964963831,-0.197595246017957,"Downregulated"
